  numStations    runDownBat    travelDur    batteryDiff    waitingTime     bestLoss    simulationTime    numClosestStations    carConsumption    exponentialLambdaCities    endCityRatio    chargingTreshold    batteryTolerance    carVelocity
          300        209385     105.667       -0.382526       184.807   2.09688e+07              1000                     3            0.0001                      0.1              0.1                  0.3                0.05              1
          300        209563     133.28        -0.391105       207.321   2.09866e+07              1000                     1            0.0001                      0.01           100                    0.5                0.1               1
          300        209695     129.94        -0.391735       202.032   2.09998e+07              1000                     1            0.0001                      0.001          100                    0.5                0.1               1
          300        209834     105.254       -0.382802       184.661   2.10137e+07              1000                     3            0.0001                      0.1            100                    0.7                0                 1
          300        209843     138.639       -0.392098       202.713   2.10146e+07              1000                     1            0.0001                      0.001            0.01                 0.3                0                 1
          300        210175     134.107       -0.391855       197.009   2.10478e+07              1000                     1            0.0001                      0.01             0.1                  0.7                0                 1
          300        210355     128.945       -0.386327       199.769   2.10658e+07              1000                     1            0.0001                      0.01             0.1                  0.3                0.1               1
          300        210635     140.466       -0.395696       200.78    2.10938e+07              1000                     1            0.0001                      0.001            1                    0.3                0.1               1
          300        210646     131.845       -0.393926       193.445   2.10949e+07              1000                     3            0.0001                      0.01           100                    0.5                0                 1
          300        210663     135.231       -0.395471       203.368   2.10966e+07              1000                     1            0.0001                      0.001            0.1                  0.7                0                 1
          300        210682     130.521       -0.389522       202.047   2.10985e+07              1000                     1            0.0001                      0.01             0.01                 0.7                0                 1
          300        210783     106.835       -0.383743       181.797   2.11086e+07              1000                     3            0.0001                      0.1              0.01                 0.5                0                 1
          300        211113     105.34        -0.38249        184.153   2.11416e+07              1000                     3            0.0001                      0.1             10                    0.5                0.1               1
          300        211264     128.724       -0.393912       198.183   2.11567e+07              1000                     1            0.0001                      0.01           100                    0.7                0.05              1
          300        211329     105.487       -0.382871       183.667   2.11632e+07              1000                     3            0.0001                      0.1              0.1                  0.7                0.05              1
          300        211450     105.742       -0.383335       183.798   2.11753e+07              1000                     3            0.0001                      0.1              1                    0.3                0.05              1
          300        211609     106.105       -0.383769       182.017   2.11912e+07              1000                     3            0.0001                      0.1              0.01                 0.3                0.05              1
          300        211754     130.467       -0.390968       191.506   2.12057e+07              1000                     3            0.0001                      0.01            10                    0.7                0                 1
          300        211801     134.861       -0.391675       201.336   2.12104e+07              1000                     1            0.0001                      0.001            1                    0.5                0.1               1
          300        211897     131.758       -0.391809       188.676   2.122e+07                1000                     3            0.0001                      0.01             1                    0.3                0                 1
          300        211993     106.09        -0.382938       186.268   2.12296e+07              1000                     3            0.0001                      0.1              1                    0.5                0.1               1
          300        212045     132.403       -0.389644       202.24    2.12348e+07              1000                     1            0.0001                      0.001           10                    0.7                0.1               1
          300        212065     106.096       -0.383789       190.502   2.12368e+07              1000                     3            0.0001                      0.1              0.01                 0.5                0.05              1
          300        212156     105.82        -0.38273        182.901   2.12459e+07              1000                     3            0.0001                      0.1              0.01                 0.7                0.1               1
          300        212185     136.57        -0.391374       196.528   2.12488e+07              1000                     1            0.0001                      0.001           10                    0.3                0.1               1
          300        212318     106.159       -0.384203       185.617   2.12621e+07              1000                     3            0.0001                      0.1            100                    0.5                0                 1
          300        212480     106.24        -0.384173       190.16    2.12783e+07              1000                     3            0.0001                      0.1              0.1                  0.3                0                 1
          300        212571     135.52        -0.389717       198.892   2.12874e+07              1000                     1            0.0001                      0.001           10                    0.5                0                 1
          300        212591     136.853       -0.393609       205.532   2.12894e+07              1000                     1            0.0001                      0.001            1                    0.5                0.05              1
          300        212779     104.848       -0.382055       183.197   2.13082e+07              1000                     3            0.0001                      0.1              0.1                  0.3                0.1               1
          300        212812     131.182       -0.390763       198.538   2.13115e+07              1000                     1            0.0001                      0.01             0.01                 0.3                0                 1
          300        212914     131.18        -0.394249       198.891   2.13217e+07              1000                     1            0.0001                      0.01             0.01                 0.3                0.1               1
          300        212945     107.05        -0.383693       179.876   2.13248e+07              1000                     3            0.0001                      0.1             10                    0.3                0.05              1
          300        213034     131.694       -0.394056       191.202   2.13337e+07              1000                     3            0.0001                      0.01           100                    0.7                0.1               1
          300        213052     140.93        -0.394413       190.871   2.13355e+07              1000                     3            0.0001                      0.001            0.1                  0.5                0.1               1
          300        213153     131.664       -0.393589       200.345   2.13456e+07              1000                     1            0.0001                      0.001            0.1                  0.7                0.1               1
          300        213430     105.959       -0.383288       179.185   2.13733e+07              1000                     3            0.0001                      0.1              0.1                  0.5                0.1               1
          300        213502     107.306       -0.382161       189.748   2.13805e+07              1000                     3            0.0001                      0.1              0.1                  0.5                0                 1
          300        213516     105.693       -0.382211       186.833   2.13819e+07              1000                     3            0.0001                      0.1              1                    0.7                0.1               1
          300        213529     133.062       -0.387311       199.699   2.13832e+07              1000                     1            0.0001                      0.01           100                    0.7                0.1               1
          300        213701     139.708       -0.390036       193.73    2.14004e+07              1000                     1            0.0001                      0.001          100                    0.5                0                 1
          300        213754     135.865       -0.388644       200.654   2.14057e+07              1000                     1            0.0001                      0.001            0.01                 0.5                0.1               1
          300        213927     105.789       -0.382797       182.844   2.1423e+07               1000                     3            0.0001                      0.1             10                    0.7                0.05              1
          300        213933     129.543       -0.391954       186.789   2.14236e+07              1000                     3            0.0001                      0.01           100                    0.7                0                 1
          300        213952     105.326       -0.382357       180.225   2.14255e+07              1000                     3            0.0001                      0.1              1                    0.5                0                 1
          300        214027     136.107       -0.391823       190.835   2.1433e+07               1000                     3            0.0001                      0.01             1                    0.3                0.05              1
          300        214271     130.926       -0.388429       206.833   2.14574e+07              1000                     1            0.0001                      0.01           100                    0.5                0.05              1
          300        214297     105.928       -0.382529       188.517   2.146e+07                1000                     3            0.0001                      0.1              0.01                 0.7                0                 1
          300        214309     142.31        -0.394308       208.482   2.14613e+07              1000                     1            0.0001                      0.001          100                    0.7                0.05              1
