  numStations    runDownBat    travelDur    batteryDiff    waitingTime     bestLoss    numClosestStations    exponentialLambdaCities    endCityRatio    chargingTreshold    batteryTolerance
          300        661518     123.443       -0.347291        177.184  6.61821e+07                    10                      0.001            0.01                 0.5                0.05
          300        661870     117.69        -0.349144        179.245  6.62173e+07                    10                      0.001            0.01                 0.7                0.1
          300        661951     121.122       -0.346311        175.603  6.62254e+07                    10                      0.001          100                    0.7                0
          300        662100     119.045       -0.344716        185.467  6.62403e+07                    10                      0.001          100                    0.3                0.1
          300        662427     116.489       -0.345589        177.189  6.6273e+07                     10                      0.01           100                    0.3                0
          300        662714     111.083       -0.346857        179.224  6.63017e+07                    10                      0.01             1                    0.7                0.1
          300        663039     118.615       -0.344064        180.324  6.63342e+07                    10                      0.01           100                    0.5                0
          300        663593     114.406       -0.345703        177.011  6.63896e+07                    10                      0.01             1                    0.5                0
          300        663648     116.415       -0.347892        183.567  6.63951e+07                    10                      0.001            0.01                 0.7                0.05
          300        664035     120.051       -0.343004        181.981  6.64338e+07                    10                      0.01             0.01                 0.7                0
          300        665616     121.595       -0.343271        184.027  6.65919e+07                    10                      0.001            1                    0.3                0
          300        665936     119.365       -0.344109        185.916  6.66239e+07                    10                      0.001            0.01                 0.5                0
          300        666470     111.094       -0.34719         176.552  6.66773e+07                    10                      0.01             1                    0.5                0.1
          300        668246     114.77        -0.345367        181.986  6.68549e+07                    10                      0.01           100                    0.7                0.05
          300        668439     119.754       -0.347032        184.733  6.68742e+07                    10                      0.01             1                    0.7                0
          300        671264     100.479       -0.346957        177.151  6.71567e+07                    10                      0.001            0.01                 0.3                0
          300        673360     101.898       -0.342345        178.244  6.73663e+07                    10                      0.001            0.01                 0.3                0.1
